id_poi_datatourisme;match_score;name;siret;site_internet;contact_url;entree_plain_pied
906;94.0;Bureau touristique Bray-Eawy;;http://tourisme.brayeawy.fr/;;True
974;129.2;Les Tables de la Gare;;http://tablesdelagare.com/;;True
3324;129.5;Hotel Restaurant  les Airelles;;;;False
3709;113.4;Hôtel et Restaurant Côme Inn;;http://www.comeinn.fr/;;False
5510;129.5;Hotel Restaurant  les Airelles;;;;False
5981;110.5;Centre hospitalier Fernand Langlois;;https://ch-neufchatel.fr/;;True
6008;89.0;Auberge de Norville;;https://auberge-de-norville.excursionsfrance.top/;;False
715;112.4;Les Confiseurs;;https://www.lesconfiseurs.com/;https://www.lesconfiseurs.com/contact;True
3232;88.6;Gîte Normandie Côte d'Albâtre;;https://www.gites-normandie-76.com;;True
3340;85.5;Gîte le Clos Saint Bernard;;https://www.gites-normandie-76.com/Gite-Octeville-sur-mer-Le-Clos-Saint-Bernard-G1351.html;;True
448;93.3;MOBCO Offranville;;https://mobco.fr/;;True
2043;87.1;Pharmacie d'Offranville;;https://pharmacies.pharmaciengiphar.com/normandie/seine-maritime/offranville/pharmacie-doffranville-1074;;True
4524;90.0;Auto Ecole du Château Offranville;;http://www.auto-ecole-chateau-dieppe.fr/;;
5296;87.3;Hôpital de Oissel;;http://www.chu-rouen.fr/;;True
6711;128.9;Carré Rouge Couture;;;;True
13;111.1;Rando-Yourte;;;;
5650;114.0;Domaine de Bertheauville;;;;True
5856;130.0;Domaine de Bertheauville;;;;True
340;111.0;Musée d'Histoire de la Vie Quotidienne;;;;True
3995;130.0;Brasserie La P'tiote;;;;True
2031;109.3;ACE Hôtel Rouen Parc des Expositions;;https://www.ace-hotel-rouen.com/fr/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=lien;;True
384;93.3;Sure Hotel by Best Western Port Jérome - Le Havre;;;;True
544;86.7;Centre Equestre des Droops;;https://cedroops.ffe.com/;https://cedroops.ffe.com/page/racine/nous_contacter;
933;129.6;Brasserie des Halles;;;;True
1631;86.5;Pole Céramique Normandie;;;;True
2142;99.7;Mairie - Quincampoix;;http://www.mairie-quincampoix.fr;;False
6112;110.7;La Roulotte du Moulin de Rebets;;;;False
542;110.2;MUSEOSEINE, musée de la Seine Normande;;https://museoseine.cauxseine.fr/;https://museoseine.cauxseine.fr/nous-contacter/;True
553;89.3;Maison de la Randonnée et du Trail;;https://www.entreseineetmer.com/;https://www.entreseineetmer.com/sejourner/loffice-de-tourisme/nous-contacter/;True
1426;129.8;Brasserie du Bac;;;;True
1698;129.1;Cinema le Paris;;;;True
1733;128.9;Skáli;;;;True
2804;126.3;Charlotte et Ernesto - Biscuiterie Artisanale;;http://www.charlotteeternesto.fr;https://www.charlotteeternesto.fr/pages/contact;False
2982;129.6;Croque Express;;https://www.facebook.com/Croquexpress/;;True
3540;86.7;Agence Immobilière Du Mascaret;;https://www.agencedumascaret.com/;;True
3816;97.6;Pharmacie de Caudebec;;https://pharmacie-caudebec.fr/;;True
4254;119.8;Boutique de l'Abbaye Saint-Wandrille;;;;True
5369;111.3;Maison Vacquerie - Musée Victor Hugo;;http://museevictorhugo.fr;;True
5943;93.1;Maison de la Randonnée et du Trail;;https://www.entreseineetmer.com/;https://www.entreseineetmer.com/sejourner/loffice-de-tourisme/nous-contacter/;True
6692;107.9;Le Normandie SARL;;;;False
45;97.2;Auberge Saint Maclou;;;;False
137;129.3;Hôtel de Bourgtheroulde, Autograph Collection;;;;True
257;101.2;Comfort Hotel  Alba Rouen;;;;False
392;92.5;A la Cloche D'Argent - la Brulerie du Gros Horloge;;;;False
527;130.0;Le Bistrot de la Pucelle;;https://www.lebistrotdelapucelle.fr/;;
598;128.9;Clinique Saint-Hilaire;;http://www.clinique-sainthilaire.fr/;;True
617;113.5;D'Eux-Memes;;;;
618;112.8;Team Break Rouen;;;;True
677;112.4;Mercure Rouen Centre Champ de Mars;;https://all.accor.com/hotel/1273/index.fr.shtml;https://all.accor.com/hotel/1273/index.fr.shtml;True
744;105.8;Grand Hôtel De La Seine (Kyriad);;http://hotelseinerouen.com/;;False
767;102.4;Hotel Cardinal Rouen;;http://www.hotelcardinal.fr/;;True
783;111.2;Hôtel Centre Rouen Vieille Tour;;http://www.rouencentrehotel.fr/;;True
797;129.8;Musée National de l'Education;;;;False
855;87.1;Mercure Rouen Centre Cathédrale;;;;True
900;130.0;EMJI;;http://www.emjicafe.fr/;;True
921;130.0;Terres de France - Appart Hotel Rouen Flaubert;;https://www.apparthotel-rouen-flaubert.com;https://www.apparthotel-rouen-flaubert.com/contact/;True
1045;129.6;Urban Style Hotel de l'Europe;;;;False
1285;94.0;Léo à table;;;;True
1382;88.5;Zhoushi - Saint Maclou;;https://linktr.ee/Zhoushi.Rouen;;
1413;89.6;Musée des Beaux Arts de Rouen;;https://mbarouen.fr/fr/le-musee-des-beaux-arts;;True
