id_poi;poi;lat;lon;found;distance_m;api_lat;api_lon;image_url;nb_results
926;Les vendredis du Parvis - Concert Los Desperados Band;49.85739;0.99361;True;36.23;49.857711;0.993523;https://panoramax.openstreetmap.fr/derivates/16/b1/fb/78/9a4a-4ffe-98c7-29cb72bbf638/sd.jpg;1
927;Église Saint-Jacques;49.9251543;1.0781709;True;15.9;49.9251578;1.0779488;https://panoramax.openstreetmap.fr/derivates/70/0d/fc/40/c21d-4462-b2d5-45b27fff7760/sd.jpg;10
928;Valleuse de Saussemare à VTT;49.88984;0.87467;False;;;;;0
929;Le Grand Eawy;49.67287;1.28297;False;;;;;0
930;L'Andellix;49.4773114;1.42772014;False;;;;;0
931;Concert des Carny Barker;49.5804191;1.2286082;False;;;;;1
932;Exposition Lin'démodable;49.7213457;0.7831668;False;;;;;0
933;Brasserie des Halles;49.4890225;0.56595859;True;8.9;49.489088503;0.566028267;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/25/b3/31/46/bcac-4424-a40e-c8bfe86a1605/sd.jpg;10
934;Humour : Jérémy Charbonnel, Seul Tout;49.500977;0.1435657;True;12.2;49.500868;0.143585;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/d2/84/d0/15/84f7-46d3-9b32-dc098c75adef/sd.jpg;10
935;Longueville-sur-Scie à pied;49.7946389;1.105822;False;;;;;0
936;Bleue Fantaisie;49.5758845;0.4698193;True;19.54;49.5758739;0.4695488;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/dc/56/f2/91/d12d-46e7-8697-332a535722a0/sd.jpg;10
937;Atelier petite enfance - Ecorce;49.5982617;1.1102176;False;;;;;0
938;Cape-Cod;50.0607884;1.37177369;True;2.32;50.0608067;1.3717892;https://panoramax.openstreetmap.fr/derivates/f1/84/fb/9d/4afc-4168-883f-b1683211ee81/sd.jpg;10
939;Maison Vatelier Boulangerie;49.52266;1.18679;True;7.6;49.5226454;1.1866871;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/a7/4f/85/73/f6a1-4d7a-82d6-76aaf0b6a8a2/sd.jpg;10
940;Grand tournoi de Kubb;49.7876468;0.6388542;True;30.43;49.787472222;0.638527778;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/d2/37/79/07/b06c-4ced-9fe5-05cd30b1dc00/sd.jpg;10
941;Gîte 3 matelots;49.76195;0.38038;False;;;;;0
942;Aire de stationnement et de service du Camping l'Oiseau Blanc;49.8043816;0.52166416;True;8.49;49.804375;0.521782;https://panoramax.openstreetmap.fr/derivates/27/03/32/00/0833-4a7a-b7c8-a563becb59eb/sd.jpg;4
943;Gîtes de France® - Rose;49.8741416;0.88797222;False;;;;;0
944;Balade à la découverte de Veauville-lès-Baons;49.65414;0.76376;False;;;;;0
945;Le Manoir de Séverine;49.600087;1.623264;False;;;;;0
946;Gîte de La Ruchette;49.50349;0.81226;False;;;;;0
947;Le Rougemont à VTT;49.71258;0.6177;False;;;;;0
948;Chalet Mésange;50.0340062;1.40310168;True;42.32;50.0336929;1.4034381;https://panoramax.openstreetmap.fr/derivates/29/1f/37/74/fa35-464e-b345-3afacac372b6/sd.jpg;10
949;TRÉSORS DU RIVAGE;49.7396419;0.30835433;False;;;;;0
950;Découverte nature en famille -  Peinture végétale;49.59786;1.11045;False;;;;;0
951;Plongeons au coeur de la tourbière - 5 km;49.4499556;0.8071387;True;45.92;49.449676047;0.807606175;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/14/7c/72/c3/247c-42fd-80cc-298c98797e78/sd.jpg;10
952;[Exposition photographique] Gilles Lange;49.9206937;1.1559273;False;;;;;0
953;Le Puit;49.612879;1.544181;False;;;;;0
954;Gîte de M. Oury- N° 2;49.875654;0.801299;True;6.56;49.875688611;0.801224836;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/df/3b/5c/ea/3c47-448e-ba97-70dbaa13c254/sd.jpg;10
955;Marché traditionnel;49.7871911;0.63861211;True;8.82;49.78725;0.638694444;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/29/71/ac/9e/5b3b-4983-a128-add3989938ea/sd.jpg;10
956;La Normande;50.0593;1.37232;True;4.18;50.0592959;1.3722618;https://panoramax.openstreetmap.fr/derivates/49/7c/f0/ab/8490-4d33-83a8-a641e278dc37/sd.jpg;10
957;Demeure en Seine;49.52477;0.73139;True;2.79;49.524794972;0.731394258;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/1b/1d/02/11/a1d0-4f67-9705-901aac84f601/sd.jpg;10
958;Un Vent de Liberté à VTT;49.7464907;0.96453478;False;;;;;0
959;Randonnée à Argueil;49.54205;1.513791;False;;;;;0
