id_poi;poi;poi_api;source;verdict;score
256;Patinoire Municipale;Patinoire Municipale;OSM;Inconnu;100
257;Hôtel Rouen Alba;Comfort Hotel  Alba Rouen;AccèsLibre;Non;101
258;Parc la Fontaine Enchantée;Aucun;Aucune;Inconnu;0
259;Grumesnil;Mairie - Grumesnil;AccèsLibre;Oui;101
261;Clos-masure, dis-nous tes secrets !;Aucun;Aucune;Inconnu;0
262;Foire à tout;Aucun;Aucune;Inconnu;0
263;Visite-démonstration à la Poterie Seinomarine;Aucun;Aucune;Inconnu;0
264;Dîner-spectacle : La Fiesta Do Brazil;Aucun;Aucune;Inconnu;0
265;Visite commentée de la Collection de faïences « Vieux Forges »;Aucun;Aucune;Inconnu;0
267;[Visite guidée] À la découverte des jardins du château;Aucun;Aucune;Inconnu;0
268;[Randonnée chantée] Dieppe et le Canada, entre histoire et musique;Aucun;Aucune;Inconnu;0
269;Auppegard en Fleurs et Plants;Aucun;Aucune;Inconnu;0
270;Bal de la Victoire à Duclair;Duclair;OSM;Inconnu;92
271;Le Relais Normand;Aucun;Aucune;Inconnu;0
272;Escale Dieppe Gambetta;Gambetta;OSM;Inconnu;94
273;Jardin en Seine;Aucun;Aucune;Inconnu;0
274;Domaine de la Reine Blanche - Villa;Aucun;Aucune;Inconnu;0
275;Tournoi jeunes de Tennis;Aucun;Aucune;Inconnu;0
276;Marché de producteurs;Aucun;Aucune;Inconnu;0
277;La Réformation;Aucun;Aucune;Inconnu;0
278;Propos de jardinier : La botanique pour les nuls;Aucun;Aucune;Inconnu;0
279;Poug'Rock Fest;Aucun;Aucune;Inconnu;0
280;Bien-être au musée : Art, sport et relaxation;Aucun;Aucune;Inconnu;0
281;Yoga et yoga Nidra en terre d'Accord;Aucun;Aucune;Inconnu;0
282;L' Estran;Aucun;Aucune;Inconnu;0
283;Les Ecuries des Vallées;Aucun;Aucune;Inconnu;0
284;[Atelier famille] Carterie;Aucun;Aucune;Inconnu;0
286;Montville en fleurs;Aucun;Aucune;Inconnu;0
287;Le Quai Sud;Aucun;Aucune;Inconnu;0
288;Activités sportives - jeux de raquettes;Aucun;Aucune;Inconnu;0
289;Aire de stationnement et de service du Flower Camping La Chênaie;La Chênaie;OSM;Inconnu;77
290;Une oeuvre, un invité, un café : le départ pour la pêche et l'oeuvre du peintre Emile Louis Minet;Aucun;Aucune;Inconnu;0
291;"Théâtre : ""Nous étions la forêt""";Aucun;Aucune;Inconnu;0
292;La Basse Vallée de la Durdent;Aucun;Aucune;Inconnu;0
293;[Thé dansant] Club de l'Amitié d'Offranville;Offranville;OSM;Oui;89
294;Exposition : Le thermalisme à travers les cartes postales anciennes;Aucun;Aucune;Inconnu;0
295;[Exposition] Maryvonne Burel et Annie Loue;Aucun;Aucune;Inconnu;0
296;MENADEL - Chambre Ariel;Aucun;Aucune;Inconnu;0
297;L'écume - Duplex 1er étage;Aucun;Aucune;Inconnu;0
298;Chèvrerie de la forêt d'Eu;Aucun;Aucune;Inconnu;0
299;Auberge d'Ypreville;AUBERGE D'YPREVILLE;AccèsLibre;Oui;129
300;Téléthon;Aucun;Aucune;Inconnu;0
301;Théâtre : Nous étions la forêt;Aucun;Aucune;Inconnu;0
302;Mcdonald's;McDonald's;AccèsLibre;Oui;93
303;Site V1 de Guerville;Site de lancement V1 Guerville – Poteau de Montauban – Site n°161;OSM;Inconnu;78
304;La Cave du Salut;La Cave du Salut;AccèsLibre;Oui;130
305;Randonnée pédestre;Aucun;Aucune;Inconnu;0
307;M. GAULANDEAU Henri et Isabelle - Location vue mer;Aucun;Aucune;Inconnu;0
308;Concert : Danyl;Aucun;Aucune;Inconnu;0
309;L'oeil et la main - Espace d'expositions d'art;Aucun;Aucune;Inconnu;0
310;La grillade;Aucun;Aucune;Inconnu;0
311;Le Clos Marin;Aucun;Aucune;Inconnu;0
312;Base Nautique et de Loisirs de Bédanne;Aucun;Aucune;Inconnu;0
313;Woupi;WOUPI;AccèsLibre;Inconnu;129
314;Minute patrimoine : Ces messieurs du café;Aucun;Aucune;Inconnu;0
315;Maison de santé pluridisciplinaire La Charmille;Aucun;Aucune;Inconnu;0
316;Des dessins animés au Shed !;Aucun;Aucune;Inconnu;0
317;La Dame au Chapeau;Aucun;Aucune;Inconnu;0
318;Mémoire d'Albâtre, Site du Pont Rouge;Mémoire d'Albâtre - Site du Pont Rouge;OSM;Partiel;102
319;Chapelle Seigneuriale de l'église Notre-Dame;Église Notre-Dame;OSM;Inconnu;93
320;Le Petit Gîte d'Angélique;Aucun;Aucune;Inconnu;0
321;Gîtes de France® - Ferme de la Houssaye;Aucun;Aucune;Inconnu;0
322;La Lisette;Aucun;Aucune;Inconnu;0
323;"Atelier de danse libre ""move your body""";Aucun;Aucune;Inconnu;0
324;NAMONT Béatrice;Aucun;Aucune;Inconnu;0
325;Les Grands Genêts;Aucun;Aucune;Inconnu;0
328;Domaine du Grand Daubeuf;Aucun;Aucune;Inconnu;0
329;La Plaine du Moulin;Aucun;Aucune;Inconnu;0
330;Petite sortie en voilier habitable;Aucun;Aucune;Inconnu;0
332;Exposition à Médiscie - Teddy Gardez, Graphiste Artandbuzz, et Caroline Strande;Médiscie;OSM;Inconnu;97
333;Gare de Le Houlme;Le Houlme;OSM;Inconnu;86
334;[Exposition] Guillaume Montier;Aucun;Aucune;Inconnu;0
335;Duck House;Aucun;Aucune;Inconnu;0
336;Sport dans les années 1920 Croquet – initiation au Gateball;Aucun;Aucune;Inconnu;0
337;La chèvrerie des trois L;Aucun;Aucune;Inconnu;0
338;La VéloCauchoise;Aucun;Aucune;Inconnu;0
339;[Visite guidée] Pourville, l’histoire d’une métamorphose;Aucun;Aucune;Inconnu;0
341;Le Cercle des pages partagées;Aucun;Aucune;Inconnu;0
342;Glicool;Aucun;Aucune;Inconnu;0
343;Gare de Motteville;Motteville;OSM;Non;93
344;FRONT DE MER ET FALAISE 317;Aucun;Aucune;Inconnu;0
346;Concerts : Les Musicales de Normandie 2026;Aucun;Aucune;Inconnu;0
347;Marais de Fesques;Mairie - Fesques;AccèsLibre;Non;99
348;Pain bio de la Castorette;Aucun;Aucune;Inconnu;0
349;Le Vallon;Aucun;Aucune;Inconnu;0
350;La Ferm'entente;Aucun;Aucune;Inconnu;0
351;La Porteuse d'Eau;Aucun;Aucune;Inconnu;0
352;Saint Valery en Caux : une ville et la mer;Mairie - Saint-Valery-en-Caux;AccèsLibre;Non;86
353;"Marché à la ferme ""Les Prés d'Artemare""";Aucun;Aucune;Inconnu;0
354;Les îles de la Seine en paddle au coucher du soleil;Aucun;Aucune;Inconnu;0
355;La Maison d'Yport;La maison d'Yport;OSM;Non;130
356;Exposition : Section peinture du Club des Jeunes;Aucun;Aucune;Inconnu;0
357;"Exposition photo ""Quand le Paysage trompe l'oeil""";Aucun;Aucune;Inconnu;0
358;Tiny House Graine d'Insolite;Aucun;Aucune;Inconnu;0
359;Téléski nautique au Lac de Caniel - Cours particulier;Aucun;Aucune;Inconnu;0
360;Au P'tit Spot;Aucun;Aucune;Inconnu;0
361;"APPARTEMENT ""LA SUITE ISAHORA"" _ LOVE ROOM";Aucun;Aucune;Inconnu;0
362;Gare d'Yvetot;Yvetot - Gare SNCF;OSM;Inconnu;96
363;[Fiction sonore] Pourquoi n'y a-t-il plus de chats à Veules-les-Roses ?;Aucun;Aucune;Inconnu;0
364;Meublé 37/38 LEVILLAIN;Aucun;Aucune;Inconnu;0
365;Le Marais des Communaux;Aucun;Aucune;Inconnu;0
366;Eglise Saint-Martin;Église Saint-Martin;OSM;Inconnu;93
367;Visite thématique : Les couleurs de l'automne;Aucun;Aucune;Inconnu;0
368;Gare de Montville;La Gare;OSM;Inconnu;125
369;Défilé et Goûter d'Halloween;Aucun;Aucune;Inconnu;0
370;Les Chambres du Chat Perché - Chambre Clair de Lune;Aucun;Aucune;Inconnu;0
371;Gîte de l'escargot;Aucun;Aucune;Inconnu;0
373;Un après-midi à la ferme;Aucun;Aucune;Inconnu;0
374;Les Terres de Marie - Le Hêtre;Aucun;Aucune;Inconnu;0
375;Visite Kostik;Aucun;Aucune;Inconnu;0
376;Rendez-vous aux jardins au sein du parc du château d'Ancretiéville Saint Victor;Ancretiéville-Saint-Victor I;OSM;Inconnu;92
377;Le Grenier de La Mothe - Management par l’orchestre;Le Grenier de la Mothe;OSM;Inconnu;114
378;Musée Saint-Louis;Aucun;Aucune;Inconnu;0
