id_poi;poi;found;best_score;best_match;nb_results
361;"APPARTEMENT ""LA SUITE ISAHORA"" _ LOVE ROOM";False;0;;0
362;Gare d'Yvetot;False;0;;0
363;[Fiction sonore] Pourquoi n'y a-t-il plus de chats à Veules-les-Roses ?;False;0;;0
364;Meublé 37/38 LEVILLAIN;False;0;;0
365;Le Marais des Communaux;True;0.1637010676156584;Ordonnance de M. le grand-maître des eaux et forêts, sur la demande formée par les religieuses de l'abbaye royale de Chelles en triage ou tiers dans les prés, marais et pâtis communaux dudit lieu de Chelles, contre les syndics et habitants de ladite paroisse;2
366;Eglise Saint-Martin;True;1.0;Eglise Saint-Martin;5
367;Visite thématique : Les couleurs de l'automne;False;0;;0
368;Gare de Montville;False;0;;0
369;Défilé et Goûter d'Halloween;False;0;;0
370;Les Chambres du Chat Perché - Chambre Clair de Lune;False;0;;0
371;Gîte de l'escargot;False;0;;0
372;Circuit touristique de Criel-sur-Mer & Mesnil-Val;False;0;;0
373;Un après-midi à la ferme;True;0.5365853658536586;Robe d'après-midi;5
374;Les Terres de Marie - Le Hêtre;False;0;;0
375;Visite Kostik;False;0;;0
376;Rendez-vous aux jardins au sein du parc du château d'Ancretiéville Saint Victor;False;0;;0
377;Le Grenier de La Mothe - Management par l’orchestre;False;0;;0
378;Musée Saint-Louis;True;0.5652173913043479;Chapelle Saint-Louis d'Anjou.;5
379;Descente de la Durdent en kayak ou en paddle;False;0;;0
380;Les Deux Piliers;True;0.34408602150537637;"plaque de verre ; [Shandong]. Wou Leang ts'eu [Wu Liang ci], les deux piliers";5
381;Exposition de peinture : Elisabeth Haloo Joye;False;0;;0
382;Concert : Sclavine;False;0;;0
383;Gîtes de France® - Gîte du Levant;False;0;;0
384;Sure Hotel by BESTWESTERN Port Jérome Le Havre;False;0;;0
385;A l'Orée du Lin;False;0;;0
386;Gîtes de France® - Le Petit Giteopré;False;0;;0
387;Visite guidée : Les comices agricoles;False;0;;0
388;MEDI-CAUX BUS du Pays de Caux;False;0;;0
389;Le Mont Lévêque à VTT;False;0;;0
390;Le Genetey;False;0;;0
391;[Foire à tout] En intérieur;False;0;;0
392;L'Escale du Gros-Horloge;False;0;;0
393;Appartement Superbe Vue Mer et Funiculaire;False;0;;0
394;Gîtes de France® - François et Auguste;False;0;;0
395;Sortie nature :  Contes au fil de l'eau;False;0;;0
396;Les Toits de Dieppe;False;0;;0
397;"Gîte ""le Bâtiment""";False;0;;0
398;[Escape Game] Mémoires de la fôret;False;0;;0
399;La Terre est Ronde pour Ceux qui S'aiment;False;0;;0
400;Epicerie d'Yport;False;0;;0
401;Aire de pique-nique de Martainville-Epreville;False;0;;0
402;L'Écurie et l'Étable;True;0.33333333333333337;Vaches à l'alpage, Vallée de Tourtemagne;3
403;Visite : Les Cordiers au temps des bains de mer;False;0;;0
404;Les chemins de forrières;False;0;;0
405;Hôtel La Villa 10;True;0.33333333333333337;Hepburn Audrey all'ingresso dell'hotel Hassler-  Villa Medici;5
406;La Villa Castel;True;0.4761904761904761;La Villa des Papes à Castel-Gandolfo, vue du lac;5
407;Centre de santé de Fontaine le Dun;False;0;;0
408;Parcours nature de la Basse Vallée de la Durdent;False;0;;0
