Nom;latitude;longitude;found;google_maps_url
Bienvenue chez Mme RABBY;49.487314;0.110579;True;https://www.google.com/maps/search/?api=1&query=49.487314%2C0.110579%28Bienvenue%20chez%20Mme%20RABBY%29
La Maison d'Emma;49.44109;1.09942;True;https://www.google.com/maps/search/?api=1&query=49.44109%2C1.09942%28La%20Maison%20d%27Emma%29
Marché traditionnel;49.8127592;0.85020426;True;https://www.google.com/maps/search/?api=1&query=49.8127592%2C0.85020426%28March%C3%A9%20traditionnel%29
Atelier Kouign-Amann;49.59866;1.10921;True;https://www.google.com/maps/search/?api=1&query=49.59866%2C1.10921%28Atelier%20Kouign-Amann%29
Family Villa 29;50.056869;1.364109;True;https://www.google.com/maps/search/?api=1&query=50.056869%2C1.364109%28Family%20Villa%2029%29
Maroquinerie Les quatre feuilles;49.57221;0.47246;True;https://www.google.com/maps/search/?api=1&query=49.57221%2C0.47246%28Maroquinerie%20Les%20quatre%20feuilles%29
Hôtel Le Cygne;49.483177;1.7235402;True;https://www.google.com/maps/search/?api=1&query=49.483177%2C1.7235402%28H%C3%B4tel%20Le%20Cygne%29
Journées Européennes du Patrimoine au Moulin de l'Arbalète;49.6887096;1.1031321;True;https://www.google.com/maps/search/?api=1&query=49.6887096%2C1.1031321%28Journ%C3%A9es%20Europ%C3%A9ennes%20du%20Patrimoine%20au%20Moulin%20de%20l%27Arbal%C3%A8te%29
Mobil-home le bonheur est dans le pré;50.04307;1.36055;True;https://www.google.com/maps/search/?api=1&query=50.04307%2C1.36055%28Mobil-home%20le%20bonheur%20est%20dans%20le%20pr%C3%A9%29
Visite sandwich;49.613311;1.545886;True;https://www.google.com/maps/search/?api=1&query=49.613311%2C1.545886%28Visite%20sandwich%29
Fête de la Musique;49.8288825;0.9117886;True;https://www.google.com/maps/search/?api=1&query=49.8288825%2C0.9117886%28F%C3%AAte%20de%20la%20Musique%29
Gîtes de France® - La Hêtraie;49.723422;0.878398;True;https://www.google.com/maps/search/?api=1&query=49.723422%2C0.878398%28G%C3%AEtes%20de%20France%C2%AE%20-%20La%20H%C3%AAtraie%29
Marché traditionnel;49.8127592;0.85020426;True;https://www.google.com/maps/search/?api=1&query=49.8127592%2C0.85020426%28March%C3%A9%20traditionnel%29
Atelier : Vaincre la peste;49.4400663;1.099885;True;https://www.google.com/maps/search/?api=1&query=49.4400663%2C1.099885%28Atelier%20%3A%20Vaincre%20la%20peste%29
France Nature Environnement;49.428976;1.0796098;True;https://www.google.com/maps/search/?api=1&query=49.428976%2C1.0796098%28France%20Nature%20Environnement%29
"Visite découverte ""de la ville primitive à nos jours""";49.861797;0.7133275;True;https://www.google.com/maps/search/?api=1&query=49.861797%2C0.7133275%28Visite%20d%C3%A9couverte%20%22de%20la%20ville%20primitive%20%C3%A0%20nos%20jours%22%29
Gîtes de France® - Gîte Normandie Côte d'Albâtre;49.8060479;0.68312899;True;https://www.google.com/maps/search/?api=1&query=49.8060479%2C0.68312899%28G%C3%AEtes%20de%20France%C2%AE%20-%20G%C3%AEte%20Normandie%20C%C3%B4te%20d%27Alb%C3%A2tre%29
Randonnées à Etretat;49.64146;0.27409;True;https://www.google.com/maps/search/?api=1&query=49.64146%2C0.27409%28Randonn%C3%A9es%20%C3%A0%20Etretat%29
Hôtel Campanile Rouen Zénith Parc Expo;49.390547;1.05976999;True;https://www.google.com/maps/search/?api=1&query=49.390547%2C1.05976999%28H%C3%B4tel%20Campanile%20Rouen%20Z%C3%A9nith%20Parc%20Expo%29
Maison de santé pluridisciplinaire de Maromme SISA des deux moulins;49.4821899;1.043259;True;https://www.google.com/maps/search/?api=1&query=49.4821899%2C1.043259%28Maison%20de%20sant%C3%A9%20pluridisciplinaire%20de%20Maromme%20SISA%20des%20deux%20moulins%29
